Obsdate		flux	flux_ler	BKG	BAND
 54383.485       3.08      6.24     16.51  2 
 54386.673       2.52      4.70     16.09  1 
 54390.552       1.08      6.16     15.71  2 
 54393.301      -5.03      5.73     16.57  2 
 54397.405       2.15      4.82     16.33  1 
 54401.135      -1.80      4.87     16.40  1 
 54404.294      -3.12      5.91     16.19  2 
 54504.802      -4.67      4.78     16.12  1 
 54508.745       2.45      6.12     16.47  2 
 54511.737       0.86      4.91     15.92  1 
 54518.476       1.04      4.79     16.13  1 
 54521.964      -7.73      5.51     16.27  2 
 54525.349       3.73      5.18     16.12  1 
 54529.035       2.01      5.72     16.48  2 
 54532.944       6.38      5.09     16.31  1 
 54536.300      17.37      6.45     16.81  2 
 54540.208      -0.79      4.70     16.64  1 
 54543.105      -0.68      5.87     16.18  2 
 54546.816      -3.02      4.79     16.92  1 
 54550.760      13.09      6.24     16.39  2 
 54553.817      -3.36      4.77     16.43  1 
 54556.648     -15.40      5.29     16.45  2 
 54560.556      -9.56      4.33     16.37  1 
 54564.498      -4.02      5.68     16.63  2 
 54568.669       0.11      4.80     16.12  1 
 54571.695      -4.79      5.43     16.35  2 
 54575.344       2.77      4.97     16.42  1 
 54578.898      -4.73      5.60     16.39  2 
 54581.891      -2.23      4.73     16.58  1 
 54584.855      -9.61      5.13     15.99  2 
 54588.828      -3.40      4.68     16.77  1 
 54591.856     -20.06      9.40     26.19  2 
 54595.828       8.04      5.13     16.54  1 
 54598.791       2.38      5.72     16.51  2 
 54602.698       2.77      4.95     16.51  1 
 54606.510       1.91      5.68     16.40  2 
 54609.633      -1.64      4.83     16.97  1 
 54613.509      -5.38      5.48     16.63  2 
 54616.567       0.31      4.78     16.48  1 
 54620.248       2.55      5.61     16.14  2 
 54623.323      -0.05      5.78     16.48  2 
 54650.744       2.87      5.51     16.44  2 
 54653.474       4.52      4.96     16.07  1 
 54656.435      -3.17      5.37     16.15  2 
 54659.427      -1.13      4.80     16.35  1 
 54662.453       4.37      5.78     16.08  2 
 54665.314      -2.06      4.67     16.76  1 
 54669.452       7.57      6.10     16.66  2 
 54672.446      -1.00      4.69     16.28  1 
 54676.587       2.01      6.17     15.73  2 
 54679.515      -0.55      4.90     16.34  1 
 54682.677      -0.53      6.00     16.08  2 
 54686.912      -1.90      4.76     16.96  1 
